# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	539
#@/user_id	37056f9d-afe8-46c2-8041-133d94fb0b15
a 	啊	c=1 d=0.142274 t=539
zhong ying shu ru fa 	中英輸入法	c=1 d=0.123687 t=539
zhong yu 	終於	c=1 d=0.941765 t=539
zhong zi 	種子	c=1 d=0.222017 t=539
zhou mo 	週末	c=3 d=1.66859 t=539
zhu 	住	c=0 d=0.0637628 t=539
zhu dao 	住到	c=1 d=0.45612 t=539
zhu de 	住的	c=1 d=0.579842 t=539
zhu shi 	註釋	c=1 d=0.715338 t=539
zhuan 	轉	c=1 d=0.501576 t=539
zhuang tai 	狀態	c=0 d=0.0571209 t=539
zi cong 	自從	c=1 d=0.196912 t=539
zi ding yi 	自定義	c=3 d=1.14442 t=539
zi dong 	自動	c=3 d=1.96186 t=539
zi ji 	自己	c=5 d=1.35587 t=539
zi zhi 	資質	c=2 d=0.761976 t=539
zong bu 	總部	c=1 d=0.339241 t=539
zong yi yuan 	總醫院	c=0 d=0.0546074 t=539
zuo ge 	做個	c=1 d=0.183656 t=539
zuo shen me 	做什麼	c=0 d=0.0102797 t=539
